연번,동명,주소,구분,세부위치(건물명 또는 상호),박스수량
333,장지동,서울 송파구 송파대로 8길 10,공동주택,1301동 옆 재활용품 처리장,1
334,풍납1동,서울특별시 송파구 천호대로 152길7,주민센터,풍납1동주민센터,1
335,풍납1동,서울특별시 송파구 한가람로 446,공동주택,동아한가람아파트,2
336,풍납1동,서울특별시 송파구 한가람로 478,공동주택,풍납씨티극동아파트,1
337,풍납1동,서울특별시 송파구 한가람로 468,공동주택,신성노바빌아파트,1
338,풍납1동,서울특별시 송파구 풍성로15길10,공동주택,대동아파트,1
339,풍납1동,서울특별시 송파구 풍성로25나길 16-1,공동주택,금강캐스빌,1
340,풍납2동,서울특별시 송파구 풍성로22길 35,주택가,풍산노인정,1
341,풍납2동,서울특별시 송파구 토성로 38-6,공동주택,한강극동아파트,3
342,풍납2동,서울특별시 송파구 올림픽로 525,공동주택,풍납현대아파트,3
343,풍납2동,서울특별시 송파구 풍성로24길 26,공동주택,현대리버빌1차,1
344,풍납2동,서울특별시 송파구 풍성로24길 38 ,공동주택,현대리버빌2차,1
345,풍납2동,서울특별시 송파구 풍성로6가길 7,공동주택,KNP상상아파트,1
346,풍납2동,서울특별시 송파구 올림픽로47길 9,공동주택,쌍용아파트,1
347,풍납2동,서울특별시 송파구 강동대로9길 8,공동주택,극동아파트,1
348,풍납2동,서울특별시 송파구 풍성로6길 10,공동주택,풍납미성아파트,1
349,풍납2동,서울특별시 송파구 풍성로26길 31,공동주택,송파힐스테이트아파프,1
350,풍납2동,서울특별시 송파구 한가람로 414,공동주택,갑을아파트,1
351,풍납2동,서울특별시 송파구 풍성로14길 19,공동주택,토성현대아파트,1
