순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용
121,(LGU+)B LG뉴패밀리시영아파트점,폐휴대폰,수거함 설치,광주 광산구 사암로 145 ,민팃ATM,무상
122,(LGU+)B LG뉴패밀리효덕점,폐휴대폰,수거함 설치,광주 남구 진제길 16 ,민팃ATM,무상
123,(LGU+)B LG다온사랑한양상가점,폐휴대폰,수거함 설치,서울 송파구 양재대로 1089 ,민팃ATM,무상
124,(LGU+)B LG다온오리로점,폐휴대폰,수거함 설치,경기 광명시 오리로 352 ,민팃ATM,무상
125,(LGU+)B LG다온텔레콤부전역점,폐휴대폰,수거함 설치,부산 부산진구 동성로 151-1 ,민팃ATM,무상
126,(LGU+)B LG다올휴머니즘컴퍼니구암역점,폐휴대폰,수거함 설치,대전시 유성구 계룡로 39 ,민팃ATM,무상
127,(LGU+)B LG다원대리점새마을금고점,폐휴대폰,수거함 설치,대전시 유성구 반석로 20 ,민팃ATM,무상
128,(LGU+)B LG다이나믹팩토리육거리시장점,폐휴대폰,수거함 설치,충북 청주시 상당구 상당로1번길 18 ,민팃ATM,무상
129,(LGU+)B LG다인모바일송탄우체국점,폐휴대폰,수거함 설치,경기 평택시 탄현로327번길 95-8 ,민팃ATM,무상
130,(LGU+)B LG대박유플러스해태상가점,폐휴대폰,수거함 설치,경기 고양시 일산동구 탄중로 321 ,민팃ATM,무상
131,(LGU+)B LG대통신흥사거리2점,폐휴대폰,수거함 설치,경기 성남시 수정구 산성대로 251 ,민팃ATM,무상
132,(LGU+)B LG대한플러스부천역점,폐휴대폰,수거함 설치,경기 부천시 경인로 259 ,민팃ATM,무상
133,(LGU+)B LG대흥정보통신우장산역점,폐휴대폰,수거함 설치,서울 강서구 강서로 254 ,민팃ATM,무상
134,(LGU+)B LG더드림스소사종합시장점,폐휴대폰,수거함 설치,경기 부천시 소삼로 21 ,민팃ATM,무상
135,(LGU+)B LG더베스트오산역점,폐휴대폰,수거함 설치,경기 오산시 대원로 6 ,민팃ATM,무상
136,(LGU+)B LG더베스트주공아파트점,폐휴대폰,수거함 설치,전북 전주시 완산구 장승배기로 268 ,민팃ATM,무상
