연번,유형,도로명주소,지번주소,위치 ,위도,경도,보유 수량
100,폐건전지함,서울특별시 관악구 봉천로 576,서울특별시 관악구 봉천동 1629-2,동아타운아파트 관리사무소,37.47697388,126.961321,1
101,폐건전지함,서울특별시 관악구 낙성대로4가길 5,서울특별시 관악구 봉천동 1624-24,낙성대동주민센터,37.47629595,126.9583876,1
102,폐형광등·폐전지통합형,서울특별시 관악구 인헌12길 46-1,서울특별시 관악구 봉천동 1707-1,은천2단지아파트 주차장,37.47066548,126.964564,1
103,폐형광등·폐전지통합형,서울특별시 관악구 남부순환로246가길 20,서울특별시 관악구 봉천동 1635-40,인헌동 주민센터 주차장,37.47509931,126.9653243,1
104,폐형광등·폐전지통합형,서울특별시 관악구 인헌16길 71,서울특별시 관악구 봉천동 산 29-3,반석아파트 건너편,37.46893004,126.9642419,1
105,폐형광등·폐전지통합형,서울특별시 관악구 남부순환로246가길 20,서울특별시 관악구 봉천동 1635-40,인헌동 주민센터 주차장,37.47509931,126.9653243,1
106,폐형광등·폐전지통합형,서울특별시 관악구 인헌12길 46-2,서울특별시 관악구 봉천동 1707,은천 1단지 아파트 주차장,37.47166852,126.965275,1
107,폐형광등·폐전지통합형,서울특별시 관악구 봉천로 611-1,서울특별시 관악구 봉천동 1657-17,동방전기철물,37.4758718,126.9651949,1
108,폐형광등·폐전지통합형,서울특별시 관악구 인헌9길 35,서울특별시 관악구 봉천동 1647,"인헌중, 인헌고 사이 도로",37.47269621,126.9688402,1
109,폐형광등·폐전지통합형,서울특별시 관악구 인헌21길 35,서울특별시 관악구 봉천동 180-181,폐의류수거함 옆,37.47057097,126.9701175,1
110,폐형광등·폐전지통합형,서울특별시 관악구 남부순환로248길 56,서울특별시 관악구 봉천동 181-6,낙성대현대아파트 101동,37.47365592,126.9657211,1
111,폐건전지함,서울특별시 관악구 남부순환로248길 56,서울특별시 관악구 봉천동 181-6,낙성대현대아파트 102동,37.47365592,126.9657211,1
112,폐건전지함,서울특별시 관악구 인헌12길 46-2,서울특별시 관악구 봉천동 1707,은천1단지아파트 경비실,37.47166852,126.965275,1
